frame,x1,y1,x2,y2
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,,,
775,45.0,258.0,,
776,100.0,179.0,,
777,147.0,188.0,,
778,187.0,196.0,,
779,221.0,201.0,,
780,274.0,207.0,,
781,342.0,215.0,,
782,393.0,226.0,1842.0,222.0
783,425.0,242.0,1818.0,293.0
784,443.0,297.0,1803.0,354.0
785,454.0,357.0,1798.0,405.0
786,459.0,403.0,1796.0,427.0
787,465.0,412.0,1804.0,440.0
788,464.0,411.0,1804.0,441.0
789,540.0,408.0,1803.0,441.0
790,555.0,408.0,1803.0,442.0
791,462.0,442.0,1803.0,423.0
792,461.0,423.0,1803.0,401.0
793,459.0,404.0,1803.0,403.0
794,458.0,402.0,1804.0,403.0
795,457.0,401.0,1804.0,403.0
796,456.0,402.0,1804.0,403.0
797,457.0,408.0,1804.0,404.0
798,456.0,411.0,1804.0,406.0
799,456.0,411.0,1804.0,406.0
800,457.0,411.0,1802.0,407.0
801,461.0,410.0,1793.0,407.0
802,466.0,409.0,1780.0,404.0
803,478.0,409.0,1767.0,397.0
804,495.0,410.0,1751.0,398.0
805,517.0,408.0,1696.0,399.0
806,546.0,406.0,1647.0,399.0
807,580.0,405.0,1598.0,396.0
808,617.0,404.0,1551.0,395.0
809,657.0,402.0,1507.0,396.0
810,699.0,401.0,1466.0,387.0
811,742.0,399.0,1429.0,389.0
812,785.0,394.0,1391.0,394.0
813,827.0,392.0,1358.0,384.0
814,872.0,390.0,1323.0,385.0
815,918.0,391.0,1295.0,384.0
816,959.0,390.0,1264.0,386.0
817,998.0,391.0,1242.0,387.0
818,1029.0,391.0,,
819,1060.0,389.0,,
820,1090.0,388.0,,
821,1112.0,384.0,,
822,1133.0,381.0,,
823,1148.0,379.0,,
824,1185.0,378.0,,
825,1218.0,377.0,,
826,1260.0,376.0,963.0,399.0
827,1302.0,375.0,966.0,401.0
828,1343.0,373.0,946.0,399.0
829,1383.0,372.0,931.0,400.0
830,1432.0,371.0,919.0,401.0
831,1475.0,369.0,912.0,402.0
832,1524.0,367.0,901.0,402.0
833,1568.0,365.0,889.0,401.0
834,1612.0,363.0,883.0,401.0
835,1649.0,362.0,865.0,402.0
836,1688.0,360.0,853.0,403.0
837,1864.0,393.0,841.0,402.0
838,1882.0,391.0,829.0,403.0
839,1751.0,355.0,817.0,403.0
840,1760.0,356.0,802.0,404.0
841,1768.0,359.0,783.0,367.0
842,1775.0,385.0,762.0,375.0
843,1781.0,378.0,742.0,376.0
844,1786.0,375.0,716.0,374.0
845,1791.0,376.0,687.0,371.0
846,1795.0,378.0,658.0,373.0
847,1799.0,383.0,625.0,376.0
848,1801.0,383.0,586.0,377.0
849,1804.0,384.0,545.0,378.0
850,1807.0,385.0,508.0,379.0
851,1809.0,390.0,480.0,381.0
852,1811.0,392.0,453.0,383.0
853,1812.0,399.0,429.0,384.0
854,1814.0,398.0,404.0,383.0
855,1815.0,402.0,384.0,383.0
856,1816.0,401.0,375.0,383.0
857,1817.0,402.0,370.0,384.0
858,1817.0,410.0,369.0,383.0
859,1817.0,402.0,368.0,383.0
860,1817.0,406.0,369.0,384.0
861,1817.0,399.0,369.0,384.0
862,1816.0,393.0,369.0,383.0
863,1816.0,390.0,370.0,377.0
864,1816.0,390.0,370.0,422.0
865,1816.0,385.0,371.0,426.0
866,1815.0,384.0,371.0,425.0
867,1815.0,380.0,370.0,426.0
868,1815.0,379.0,370.0,427.0
869,1815.0,370.0,370.0,426.0
870,1815.0,366.0,370.0,426.0
871,1813.0,365.0,370.0,426.0
872,1812.0,364.0,370.0,427.0
873,1830.0,391.0,370.0,426.0
874,1831.0,391.0,370.0,424.0
875,1831.0,391.0,371.0,437.0
876,1833.0,393.0,382.0,475.0
877,1812.0,362.0,,
878,1830.0,389.0,395.0,414.0
879,1829.0,387.0,372.0,422.0
880,1812.0,362.0,369.0,426.0
881,1812.0,361.0,370.0,425.0
882,1815.0,382.0,369.0,425.0
883,1812.0,361.0,370.0,425.0
884,1811.0,360.0,371.0,424.0
885,1811.0,360.0,371.0,425.0
886,1811.0,360.0,371.0,425.0
887,1811.0,359.0,371.0,424.0
888,1812.0,360.0,371.0,425.0
889,1812.0,360.0,371.0,425.0
890,1812.0,360.0,371.0,425.0
891,1812.0,360.0,371.0,425.0
892,1812.0,359.0,371.0,425.0
893,1812.0,359.0,371.0,425.0
894,1812.0,359.0,372.0,425.0
895,1812.0,360.0,372.0,425.0
896,1812.0,360.0,372.0,424.0
897,1812.0,360.0,375.0,424.0
898,1810.0,359.0,383.0,423.0
899,1807.0,357.0,393.0,422.0
900,1803.0,356.0,407.0,422.0
901,1797.0,353.0,422.0,420.0
902,1789.0,350.0,436.0,419.0
903,1780.0,346.0,451.0,420.0
904,1770.0,342.0,464.0,421.0
905,1763.0,345.0,477.0,421.0
906,1756.0,346.0,488.0,420.0
907,1739.0,347.0,498.0,420.0
908,1721.0,348.0,509.0,419.0
909,1719.0,350.0,517.0,418.0
910,1730.0,347.0,523.0,417.0
911,1744.0,344.0,528.0,417.0
912,1729.0,344.0,530.0,417.0
913,1725.0,343.0,530.0,417.0
914,1725.0,343.0,530.0,417.0
915,1726.0,343.0,530.0,417.0
916,1727.0,342.0,530.0,417.0
917,1728.0,343.0,530.0,417.0
918,1728.0,343.0,530.0,417.0
919,1728.0,343.0,530.0,416.0
920,1726.0,343.0,530.0,417.0
921,1715.0,353.0,530.0,417.0
922,1712.0,364.0,530.0,417.0
923,1723.0,375.0,530.0,417.0
924,1752.0,364.0,530.0,417.0
925,1757.0,359.0,531.0,417.0
926,1757.0,364.0,531.0,418.0
927,1903.0,364.0,530.0,417.0
928,1756.0,397.0,531.0,417.0
929,1755.0,398.0,533.0,417.0
930,1757.0,407.0,538.0,416.0
931,1760.0,407.0,533.0,416.0
932,1763.0,411.0,531.0,416.0
933,1768.0,415.0,530.0,416.0
934,1774.0,409.0,531.0,415.0
935,1785.0,372.0,533.0,418.0
936,1797.0,358.0,532.0,410.0
937,1810.0,329.0,530.0,405.0
938,1826.0,288.0,530.0,404.0
939,1847.0,249.0,530.0,404.0
940,1870.0,215.0,529.0,404.0
941,1901.0,312.0,525.0,401.0
942,,,522.0,401.0
943,,,524.0,411.0
